cargo,empresa,salario_base,localizacao,modalidade_trabalho,nivel,experiencia,tipo_contrato,remuneracao_total_anual,remuneracao_inclui,salario_base_detalhado,bonus_anual,relacao_empresa,area_especializacao,beneficios,remuneracao_total_mensal,Apoio psicológico,Auxílio Creche,Auxílio Educação,Auxílio Internet,Café Grátis,Celular Corporativo,Day off no aniversário,Gympass,Gympass ou subsídio para academia,Home Office,Home office,Horas extras,Horário Flexível,Horário flexível,Insalubridade ou periculosidade,Licença maternidade estendida,Licença paternidade estendida,Não informado,PLR,Participação nos Lucros e Resultados (PLR),Plano Odontológico,Plano de Saúde,Plano de saúde,Previdência privada,Seguro de vida,Stock Options,Vale Alimentação,Vale Refeição,Vale Transporte,Vale-alimentação,Vale-refeição,Viagens,estado,texto_vaga
Data Scientist,Ambev Tech,15.3,"Salvador, Bahia",Remoto,Sênior,6 anos de experiência,CLT,248.949,"Inclui bônus, PLR, stock options e comissões",203.949,45.000,Funcionário em agosto de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Participação nos Lucros e Resultados (PLR) | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença paternidade estendida,20.746,sim,sim,sim,sim,nao,nao,sim,nao,sim,sim,nao,nao,nao,nao,nao,nao,sim,nao,nao,sim,sim,sim,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,BA,Data Scientist Sênior BA Remoto
Data Scientist,Hospital Albert Einstein,15.0,"São Paulo, São Paulo",Híbrido,Sênior,6 anos de experiência,CLT,199.95,"Inclui bônus, PLR, stock options e comissões",199.95,Não informado,Funcionário em julho de 2025,Não informado,Vale Refeição | Vale Alimentação | Plano de Saúde | Horário Flexível | Participação nos Lucros e Resultados (PLR),16.663,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,nao,nao,sim,nao,sim,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Sênior SP Híbrido
Data Scientist,Hospital Albert Einstein,21.606,"São Paulo, São Paulo",Híbrido,Sênior,7 anos de experiência,CLT,332.008,"Inclui bônus, PLR, stock options e comissões",288.008,44.000,Funcionário em julho de 2025,Não informado,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Gympass ou subsídio para academia,27.667,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,sim,nao,nao,nao,nao,nao,nao,sim,sim,sim,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Sênior SP Híbrido
Data Scientist,Serasa,7.0,"São Paulo, São Paulo",Híbrido,Pleno,3 anos de experiência,CLT,105.91,"Inclui bônus, PLR, stock options e comissões",93.31,12.600,Funcionário em junho de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Plano de Saúde | Plano Odontológico | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Stock Options | Licença maternidade estendida | Licença paternidade estendida,8.826,nao,sim,nao,nao,sim,nao,nao,nao,sim,nao,nao,sim,sim,nao,nao,sim,sim,nao,nao,sim,sim,sim,nao,sim,sim,sim,sim,sim,sim,nao,nao,nao,SP,Data Scientist Pleno SP Híbrido
Data Scientist,John Snow Labs,40.0,"São Paulo, São Paulo",Remoto,Sênior,8 anos de experiência,PJ,480.0,"Inclui bônus, PLR, stock options e comissões",480.0,Não informado,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Não informado,40.0,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,SP,Data Scientist Sênior SP Remoto
Data Scientist,Magazine Luiza,8.7,"São Paulo, São Paulo",Híbrido,Júnior,2 anos de experiência,CLT,124.671,"Inclui bônus, PLR, stock options e comissões",115.971,8.700,Funcionário em abril de 2025,Vendas,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Educação | Plano de Saúde | Plano Odontológico | Home Office | Café Grátis | Gympass ou subsídio para academia | Apoio psicológico,10.389,sim,nao,sim,nao,sim,nao,nao,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,sim,sim,sim,nao,nao,nao,SP,Data Scientist Júnior SP Híbrido
Data Scientist,Serasa Experian,9.8,"São Paulo, São Paulo",Remoto,Sênior,3.8 anos de experiência,CLT,168.274,"Inclui bônus, PLR, stock options e comissões",130.634,17.640,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Creche | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Stock Options | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,14.023,sim,sim,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,sim,nao,nao,sim,sim,nao,nao,sim,sim,sim,nao,sim,sim,sim,sim,sim,nao,nao,nao,nao,SP,Data Scientist Sênior SP Remoto
Data Scientist,Operdata,5.0,"Belo Horizonte, Minas Gerais",Remoto,Júnior,3 anos de experiência,CLT,70.15,"Inclui bônus, PLR, stock options e comissões",66.65,3.500,Funcionário em abril de 2025,Banco de Dados,Vale Refeição | Vale Transporte | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Gympass ou subsídio para academia,5.846,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,nao,sim,sim,nao,nao,nao,MG,Data Scientist Júnior MG Remoto
Data Scientist,Beegol,9.0,"São Paulo, São Paulo",Remoto,Pleno,2 anos de experiência,PJ,108.0,"Inclui bônus, PLR, stock options e comissões",108.0,Não informado,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Home Office | Horário Flexível,9.0,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Pleno SP Remoto
Data Scientist,Datarisk,9.0,São Paulo,Remoto,Pleno,4 anos de experiência,PJ,108.0,"Inclui bônus, PLR, stock options e comissões",108.0,Não informado,Saiu da empresa em 2024 (ex-funcionário),Não informado,Plano de Saúde | Plano Odontológico | Day off no aniversário,9.0,nao,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,SP,Data Scientist Pleno SP Remoto
