Nome da empresa,rating da empresa,cargo,faixa salarial (min),faixa salarial (max),salário médio,número de vagas
Itaú Unibanco (Itaú BBA e Rede),4.4,Cientista De Dados,7000,13000,10000,257
IBM,3.9,Cientista De Dados,4000,10000,7000,65
Hospital Israelita Albert Einstein,4.4,Cientista De Dados,12000,14000,13000,153
Banco Bradesco,4.1,Cientista De Dados,6000,11000,8000,278
Semantix,2.8,Cientista De Dados,7000,13000,8000,38
Stefanini,4,Cientista De Dados,4000,8000,7000,272
Stone,4.1,Cientista De Dados,9000,16000,10000,68
Propz,4.2,Cientista De Dados,5000,8000,6000,0
Nubank,4.4,Cientista De Dados,12000,20000,13000,13
Kunumi,4.6,Cientista De Dados,7000,16000,9000,0
NeuroTech,4.5,Cientista De Dados,6000,12000,6000,9
Globo,4.2,Cientista De Dados,6000,10000,9000,2
Ambev Tech,4.2,Cientista De Dados,8000,15000,10000,36
Radix Engenharia e Software,4.3,Cientista De Dados,6000,9000,8000,0
Sicredi,4.4,Cientista De Dados,4000,9000,6000,599
TOTVS,4.2,Cientista De Dados,7000,15000,10000,259
Atlântico,4.5,Cientista De Dados,6000,11000,8000,0
Suzano,4.4,Cientista De Dados,12000,14000,13000,51
Banco do Brasil,4.3,Cientista De Dados,5000,12000,6000,0
Neoway,4.4,Cientista De Dados,7000,14000,10000,10
Santander,3.8,Cientista De Dados,8000,13000,9000,1
Oper,4.4,Cientista De Dados,4000,6000,5000,1
americanas s.a.,3.6,Cientista De Dados,6000,12000,8000,270
Universidade de São Paulo (USP),4.4,Cientista De Dados,2000,9000,5000,0
Dasa,3.5,Cientista De Dados,6000,16000,10000,323
Softplan,4.2,Cientista De Dados,7000,12000,10000,36
Grupo Globo,4.1,Cientista De Dados,6000,10000,9000,1
Ambev,4.3,Cientista De Dados,7000,10000,9000,217
Petrobras,4.5,Cientista De Dados,5000,17000,13000,434
Hotmart,4.1,Cientista De Dados,6000,18000,10000,10
iFood,4.2,Cientista De Dados,6000,13000,12000,65
Grupo Casas Bahia,3.8,Cientista De Dados,10000,11000,10000,307
Accenture,3.7,Cientista De Dados,5000,9000,7000,49
Experian,4.3,Cientista De Dados,9000,12000,10000,748
Ipiranga,4,Cientista De Dados,5000,9000,6000,35
Gupy,4.1,Cientista De Dados,7000,14000,12000,9
PicPay,3.8,Cientista De Dados,8000,11000,9000,43
Mercado Livre,4.2,Cientista De Dados,8000,18000,9000,503
RD Station,4,Cientista De Dados,8000,12000,10000,18
Google,4.6,Cientista De Dados,6000,19000,8000,4
Unimed,4.1,Cientista De Dados,4000,8000,7000,409
